Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""9798804636129""",4.0,Harper,Paperback,212,2016,2016,,2026/09/18,,,read,,,,0,0
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin Sharma,"Sharma, Robin",,"=""0062515675""","=""9780062515674""",5.0,HarperOne,Paperback,208,1999,1996,,2026/09/18,,,read,,,,0,0
53642699,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,"Wiest, Brianna",,"=""""","=""""",4.0,Thought Catalog Books,Kindle Edition,250,2020,2020,,2026/09/18,,,read,,,,0,0
199276746,Common Yet Uncommon: 14 Memorable Stories from Daily Life,Sudha Murty,"Murty, Sudha",,"=""0143464612""","=""9780143464617""",5.0,Penguin,Hardcover,200,2023,2023,,2026/09/18,,,read,,,,0,0
224113806,"Micro Habits: Small Changes, Big Impact",Walter Smith,"Smith, Walter",,"=""9361567578""","=""9789361567575""",4.0,Rupa Publications India,Paperback,232,2025,,,2026/09/18,,,read,,,,0,0
33289859,Chanakya in Daily Life,Radhakrishnan Pillai,"Pillai, Radhakrishnan",,"=""""","=""""",4.0,Rupa Publications India,Kindle Edition,292,2016,2016,,2026/09/18,,,read,,,,0,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",5.0,Celadon Books,Hardcover,336,2019,2019,,2026/09/18,,,read,,,,0,0
242873033,Who the F**k are You: A Polite Book about Finding Your Unfair Advantage and Making it Impossible to Ignore,Harinder Singh Pelia,"Pelia, Harinder Singh",,"=""9373034979""","=""9789373034973""",4.0,Penguin Business,Kindle Edition,167,2025,,,2026/09/18,,,read,,,,0,0
52529,"The Secret (The Secret, #1)",Rhonda Byrne,"Byrne, Rhonda",,"=""""","=""""",4.0,Atria Books/Beyond Words,Hardcover,199,2006,2006,,2026/09/17,,,read,,,,0,0
634583,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",Arun Tiwari,"=""8173711461""","=""9788173711466""",3.0,Universities Press,Paperback,180,2011,1999,,2026/09/17,,,read,,,,0,0
150754193,Dairy of a Wimpy Kid Set 9-12: Long Haul/Old Scool/Double Down/The Getaway,Jeff Kinney,"Kinney, Jeff",,"=""""","=""""",5.0,Amulet,Hardcover,0,,,,2026/09/17,,,read,,,,0,0
40078926,"Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series, #2)",Thibaut Meurisse,"Meurisse, Thibaut",Kerry J.  Donovan,"=""""","=""""",4.0,,Kindle Edition,215,2018,2018,,2026/09/17,,,read,,,,0,0
1405296,"The Law of Success, Volume II: Principles of Personal Power",Napoleon Hill,"Hill, Napoleon",,"=""1580632246""","=""9781580632249""",3.0,High Roads Media,Hardcover,256,2002,2002,,2026/09/17,,,read,,,,0,0
25874992,You Can: A Collection of Brief Talks on the Most Important Topic in the World - Your Success,George Matthew Adams,"Adams, George Matthew",,"=""1502781379""","=""9781502781376""",2.0,Createspace Independent Publishing Platform,Paperback,128,2014,2005,,2026/09/17,,,read,,,,0,0
7733,Gulliver’s Travels,Jonathan Swift,"Swift, Jonathan",,"=""0141439491""","=""9780141439495""",4.0,Penguin,Paperback,306,2017,1726,,2026/09/17,,,read,,,,0,0
231148075,The Art of Spending Money: Simple Choices for a Richer Life,Morgan Housel,"Housel, Morgan",,"=""0593716620""","=""9780593716625""",4.0,Portfolio,Hardcover,233,2025,2025,,2026/09/17,,,read,,,,0,0
